Titulos,contenidos,Palabras claves
    Practicante de psicología  ,"Estudiante de Psicología o carreras afines, con practicas a probadas mediante contrato de aprendizaje, para realizar sus practicas apoyando procesos de gestión humana (reclutamiento, selección, contratación, formación...). Horario l-v 7.30 am a 5 pm        ",                                practicante                            
    Auditor academico  ,¡Trabaja con nosotros!,                                auditor                            
    Asesor/a integral pereira  ,Únete a nuestra comunidad de talentos ,                                Asesor                            
    Auditor senior  ,"Importante Empresa  busca Auditor  Senior para trabajar fuera de Bogotá, municipios aledaños.  Profesional Graduado en Ingeniería Industrial, Administración de empresas, Contaduría Pública (No Estudiantes). Experiencia mínima de 5 años.   Conocimientos en todos los procesos organizacionales, experiencia en compras y procesos logísticos organizacionales, organizada, con ganas de incursionar en las áreas de auditoría y procesos.  ",                                auditoras                            
    Almacenista de construcción- cajica  ,¡Buscamos el mejor talento!,                                almacenistas                            
    Jefe de importaciones y logistica  ,"Reconocida empresa del sector Automotriz busca para su equipo de trabajo JEFE DE IMPORTACIONES Y LOGISTICA, profesional en negocios internacionales, comercio exterior o carreras afines, mínimo 4 años de experiencia en cargos similares en el sector automotriz, debe tener conocimiento en clasificación arancelaria, normatividad aduanera. Indispensable dominio del idioma inglés escrito y hablado. ",                                arancelaria                            
    Contador publico  ,"Importante empresa en Barranquilla requiere profesional en contaduría pública, con experiencia de 4 años en registro de operaciones, conciliaciones bancarias, manejo de facturación electrónica, manejo de nómina electrónica, información exógena, preparación de impuestos nacionales y distritales, preparación de estados financieros, y demás tareas asignadas por el jefe directo. Manejo de Office, SIIGO. Se requiere un alto grado de liderazgo, proactividad, creatividad y responsabilidad en el desempeño de las tareas asignadas.        ",                                contador                            
    Asesor comercial interno barrancabermeja  ,"Importante empresa  Financiera requiere para su equipo de trabajo tecnólogo y/o profesional en carreras administrativas, financieras, comerciales o afines, experiencia mínima de 2 años en el manejo de productos y servicios del sector, Debe tener conocimiento en asesoría a los clientes, captación de nuevos clientes, venta de portafolio financiero, entre su funciones se encuentra el Cumplimiento de metas comerciales, Asegurar la calidad del producto y del servicio ofertado. Horarios: Lunes a Sábado. Salario: 1.500.000 + prestaciones.        ",                                asesoria                            
    Administrador de punto de venta cartagena  ,"Importante compañía del sector colchonero requiere para su equipo de trabajo administrador punto de venta o líder de tienda con experiencia minima de 1 año con conocimiento en caja menor, facturación tipo pos, manejo de personal, manejo de presupuesto, entre otras",                                lider de tienda                            
    Inspector de seguridad integral  ,"¿Buscas ser parte de una cultura de alto desempeño, comprometida con lo social? Si es así, te invitamos a participar en nuestra convocatoria para el cargo: Inspector  Seguridad Integral.",                                seguridad                            
"    Auxiliar contable, estudiante  ","Empresa de construcciones e ingeniería, dedicada a la contratación privada y estatal, solicita:",                                AUXILIAR CONTABLE                            
    Gestor de proyectos  ,"Profesional en áreas administrativas o de educación, con especialización en Gerencia o Gestión de Proyectos,  TIC, Informática Educativa,  Proyectos educativos mediados por TIC, innovación educativa, Educación o áreas afines. Con experiencia en manejo de gestión comercial y de ventas, trabajo por objetivos y cumplimiento de metas comerciales. Experiencia mínima  de  3 años en la gestión, acompañamiento, seguimiento y desarrollo de proyectos virtuales. ",                                E LEARNING                            
    Auxiliar de admisiones  ,"Importante y reconocida clinica ubicada en el norte de la ciudad, requiere, tec o tecnologo aux administrativo en salud o auxiliar de enfermeria. Exp min 1 año reciente como auxiliar de admisiones.",                                AUXILIAR DE ADMISIONES                            
    Auxiliar administrativa (o) start up y aceleración - cali  ,"La Universidad ICESI, se encuentra en la búsqueda de Auxiliar Administrativa (o) de  Start Up y Aceleración quien tendrá la misión de: Apoyar a la Dirección del Área Startup y Aceleración del Centro de Desarrollo del Espíritu Empresarial - CDEE en el desarrollo de las diversas actividades y servicios que este presta a la comunidad en los procesos de creación de empresa, con el propósito de mejorar los resultados de incubación y aceleración empresarial, de acuerdo con las políticas institucionales y los lineamientos del CDEE. 	",                                apoyo administrativo                            
    Coordinador de comercio exterior  ,"Se requiere tecnólogo en Comercio exterior ó negocios internacionales y/o carreras afines, con experiencia de 5 años, en seguimiento a entrega de mercancía por parte del proveedor, cumpliendo con los tiempos y costos establecidos para la importación, realizando la liquidación de las importaciones, asegurando la disponibilidad del producto al mejor costo, realizar cotizaciones con agente de carga y transporte nacional, elaborar y controlar los documentos de  vinculación. Contrato directo con la empresa, salario: $2.000.000        ",                                importaciones                            
